Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),902344,Algoma Education Connection Secondary School,Public,Alternative,Secondary,English,9-12,,,550 Northern Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4J4,705-945-7194,705-945-7173,http://www.adsb.on.ca,http://www.adsb.on.ca, 202 ,46.53477,-84.30772,NA,100,NA,NA,19.8,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,N/R,NA,N/R,NA,22.7,20.5,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),019186,Anna McCrea Public School,Public,Not applicable,Elementary,English,JK-8,,,250 Mark St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A3M7,705-945-7106,705-945-7221,http://www.adsb.on.ca/sites/schools/amc/default.aspx,http://www.adsb.on.ca, 182 ,46.50593,-84.28732,SP,100,SP,SP,14.8,NA,79%,-7,50%,-29,64%,-7,86%,-14,43%,-46,36%,-36,NA,NA,NA,NA,NA,NA,11,56.3,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),067679,Arthur Henderson Public School,Public,Not applicable,Elementary,English,JK-3,,,2 Henderson Lane 2,Bruce Mines,Bruce Mines,Ontario,P0R1C0,705-785-3483,705-785-3220,http://www.adsb.on.ca/sites/schools/art/default.aspx,http://www.adsb.on.ca, 64 ,46.30183,-83.7802,NA,100,NA,NA,SP,NA,80%,40,73%,20,53%,6,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,34.3,37.2,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),043362,Ben R McMullin Public School,Public,Not applicable,Elementary,English,JK-8,,,24 Paradise Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B5K2,705-945-7108,705-945-7205,http://www.adsb.on.ca/sites/schools/brm/default.aspx,http://www.adsb.on.ca, 177 ,46.52455,-84.29804,SP,100,SP,SP,17.5,NA,62%,-17,31%,-48,38%,-41,50%,-7,42%,-29,25%,-4,NA,NA,NA,NA,NA,NA,32,31.4,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),054542,Blind River Public School,Public,Not applicable,Elementary,English,JK-8,,,19 Hanes Ave,Blind River,Blind River,Ontario,P0R1B0,705-356-7752,705-356-0271,http://www.adsb.on.ca/sites/schools/bli/default.aspx,http://www.adsb.on.ca, 152 ,46.18454,-82.9576,SP,99.3,SP,SP,25.6,NA,59%,3,41%,-28,45%,-17,78%,7,28%,-43,22%,-11,NA,NA,NA,NA,NA,NA,24.8,19.8,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),490822,Boreal French Immersion Public School,Public,Not applicable,Elementary,English,JK-8,,,232 Northern Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4H6,705-945-7149,705-945-7349,http://rosedale.adsb.on.ca/,http://www.adsb.on.ca, 313 ,46.52447,-84.31073,SP,100,NA,NA,9.9,NA,N/D,NA,N/D,NA,64%,NA,90%,5,86%,10,71%,5,NA,NA,NA,NA,NA,NA,19,35.3,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),137967,Central Algoma Intermediate School,Public,Not applicable,Elementary,English,7-8,,,32 Kensington Road,Huron Shores,Desbarats,Ontario,P0R1E0,705-782-6263,705-782-4288,http://www.adsb.on.ca/sites/schools/cis/default.aspx,http://www.adsb.on.ca, 169 ,46.34007,-83.93689,NA,100,NA,NA,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,29.7,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),285552,Central Algoma Public School,Public,Not applicable,Elementary,English,JK-6,,220,5 Margaret St,Johnson,Desbarats,Ontario,P0R1E0,705-782-6233,705-782-0260,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=40,http://www.adsb.on.ca, 116 ,46.34875,-83.92525,SP,100,NA,NA,17.2,NA,75%,2,42%,-31,67%,12,80%,-20,70%,-3,50%,-32,NA,NA,NA,NA,NA,NA,31.2,31.7,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891347,Central Algoma Secondary School,Public,Not applicable,Secondary,English,9-12,,,32 Kensington Rd,Johnson,Desbarats,Ontario,P0R1E0,705-782-6263,705-782-4288,http://www.adsb.on.ca/sites/schools/cas/default.aspx,http://www.adsb.on.ca, 328 ,46.33811,-83.93551,SP,99.1,SP,SP,29.5,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70%,-3,51%,21,64%,-3,17.6,21,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),093548,Central Avenue Public School,Public,Not applicable,Elementary,English,JK-8,,,81 Central Ave,Elliot Lake,Elliot Lake,Ontario,P5A2G4,705-848-3951,705-848-4805,http://www.adsb.on.ca/sites/schools/cen/default.aspx,http://www.adsb.on.ca, 274 ,46.3904,-82.65883,SP,97.8,SP,SP,18.9,NA,16%,-22,8%,-23,4%,-19,42%,-38,45%,-22,16%,-27,NA,NA,NA,NA,NA,NA,32.5,24.3,6/17/2019
