Academic Year,Region,Board Number,Board Name,Board Language,Board Type,Elementary Male Educators,Elementary Female Educators,Secondary Male Educators,Secondary Female Educators,Total Male Educators,Total Female Educators,Total Educators
2017-2018,Sudbury-North Bay Regional Office,B28010,Algoma DSB,English,Public,82.44,382.27,138.97,147.29,221.41,529.56,750.97
2017-2018,Ottawa Regional Office,B67202,Algonquin and Lakeshore CDSB,English,Catholic,99.09,450.80,124.45,153.50,223.54,604.30,827.84
2017-2018,London Regional Office,B66010,Avon Maitland DSB,English,Public,93.15,566.60,166.18,219.28,259.33,785.88,"1,045.21"
2017-2018,Barrie Regional Office,B66001,Bluewater DSB,English,Public,118.96,690.83,137.42,190.83,256.38,881.66,"1,138.04"
2017-2018,London Regional Office,B67164,Brant Haldimand Norfolk CDSB,English,Catholic,67.00,382.04,93.35,138.34,160.35,520.38,680.73
2017-2018,Barrie Regional Office,B67008,Bruce-Grey CDSB,English,Catholic,30.50,188.20,54.57,52.64,85.07,240.84,325.91
2017-2018,Ottawa Regional Office,B67172,CDSB of Eastern Ontario,English,Catholic,108.13,560.85,154.80,134.32,262.93,695.17,958.10
2017-2018,Toronto and Area Regional Office,B66303,CS Viamonde,French,Public,162.44,616.84,110.77,107.63,273.21,724.47,997.68
2017-2018,Toronto and Area Regional Office,B67318,CS catholique MonAvenir,French,Catholic,177.62,892.36,152.24,175.94,329.86,"1,068.30","1,398.16"
2017-2018,Sudbury-North Bay Regional Office,B28118,CS public du Grand Nord de l'Ontario,French,Public,24.75,141.64,29.25,58.58,54.00,200.22,254.22
2017-2018,Sudbury-North Bay Regional Office,B28100,CSD du Nord-Est de l'Ontario,French,Public,18.16,122.90,32.84,40.75,51.00,163.65,214.65
2017-2018,Sudbury-North Bay Regional Office,B29114,CSDC Franco-Nord,French,Catholic,25.83,142.10,33.49,49.53,59.32,191.63,250.95
2017-2018,Ottawa Regional Office,B67326,CSDC de l'Est ontarien,French,Catholic,88.80,519.55,100.12,140.60,188.92,660.15,849.07
2017-2018,Sudbury-North Bay Regional Office,B29130,CSDC des Aurores boréales,French,Catholic,14.20,64.41,<10         ,<10         ,SP          ,SP          ,95.64
2017-2018,Sudbury-North Bay Regional Office,B29106,CSDC des Grandes Rivières,French,Catholic,40.53,319.53,82.81,105.80,123.34,425.33,548.67
2017-2018,Ottawa Regional Office,B67334,CSDC du Centre-Est de l'Ontario,French,Catholic,243.29,"1,175.26",203.78,264.45,447.07,"1,439.71","1,886.78"
2017-2018,Sudbury-North Bay Regional Office,B29122,CSDC du Nouvel-Ontario,French,Catholic,56.65,342.17,66.30,124.58,122.95,466.75,589.70
2017-2018,Toronto and Area Regional Office,B67300,Conseil scolaire catholique Providence,French,Catholic,113.35,501.33,97.98,101.08,211.33,602.41,813.74
2017-2018,Ottawa Regional Office,B66311,CÉP de l'Est de l'Ontario,French,Public,183.69,734.89,153.92,158.39,337.61,893.28,"1,230.89"
2017-2018,London Regional Office,B66150,DSB Niagara,English,Public,361.08,"1,343.75",396.12,414.69,757.20,"1,758.44","2,515.64"
2017-2018,Sudbury-North Bay Regional Office,B28002,DSB Ontario North East,English,Public,64.14,257.80,99.37,105.84,163.51,363.64,527.15
2017-2018,Toronto and Area Regional Office,B67083,Dufferin-Peel CDSB,English,Catholic,477.20,"2,974.30",912.19,"1,326.01","1,389.39","4,300.31","5,689.70"
2017-2018,Barrie Regional Office,B67105,Durham CDSB,English,Catholic,155.09,834.53,202.35,264.10,357.44,"1,098.63","1,456.07"
2017-2018,Barrie Regional Office,B66060,Durham DSB,English,Public,576.20,"2,811.40",601.60,890.30,"1,177.80","3,701.70","4,879.50"
2017-2018,London Regional Office,B66168,Grand Erie DSB,English,Public,214.33,994.50,269.98,357.02,484.31,"1,351.52","1,835.83"
2017-2018,London Regional Office,B66028,Greater Essex County DSB,English,Public,325.00,"1,346.05",338.48,475.04,663.48,"1,821.09","2,484.57"
2017-2018,Toronto and Area Regional Office,B67113,Halton CDSB,English,Catholic,182.50,"1,335.78",329.62,513.51,512.12,"1,849.29","2,361.41"
2017-2018,Toronto and Area Regional Office,B66133,Halton DSB,English,Public,535.11,"2,610.61",550.79,759.99,"1,085.90","3,370.60","4,456.50"
2017-2018,London Regional Office,B67121,Hamilton-Wentworth CDSB,English,Catholic,249.33,"1,015.27",308.83,393.20,558.16,"1,408.47","1,966.63"
2017-2018,London Regional Office,B66141,Hamilton-Wentworth DSB,English,Public,482.70,"1,847.25",470.13,550.74,952.83,"2,397.99","3,350.82"
2017-2018,Ottawa Regional Office,B66222,Hastings & Prince Edward DSB,English,Public,133.56,574.76,149.90,195.65,283.46,770.41,"1,053.87"
2017-2018,London Regional Office,B67016,Huron Perth CDSB,English,Catholic,24.00,206.06,54.67,47.00,78.67,253.06,331.73
2017-2018,Sudbury-North Bay Regional Office,B29025,Huron-Superior CDSB,English,Catholic,50.20,219.64,28.67,47.67,78.87,267.31,346.18
2017-2018,Sudbury-North Bay Regional Office,B15148,James Bay Lowlands SSB,English,Public,,,11.00,<10         ,11.00,SP          ,SP          
2017-2018,Barrie Regional Office,B66079,Kawartha Pine Ridge DSB,English,Public,259.22,"1,291.82",310.83,347.60,570.05,"1,639.42","2,209.47"
2017-2018,Thunder Bay Regional Office,B28045,Keewatin-Patricia DSB,English,Public,41.67,204.25,74.90,94.28,116.57,298.53,415.10
2017-2018,Thunder Bay Regional Office,B29050,Kenora CDSB,English,Catholic,14.04,74.09,13.62,22.98,27.66,97.07,124.73
2017-2018,Thunder Bay Regional Office,B28061,Lakehead DSB,English,Public,72.08,357.42,90.24,103.36,162.32,460.78,623.10
2017-2018,London Regional Office,B66036,Lambton Kent DSB,English,Public,193.90,843.20,260.50,269.44,454.40,"1,112.64","1,567.04"
2017-2018,Ottawa Regional Office,B66206,Limestone DSB,English,Public,182.99,695.72,202.60,255.38,385.59,951.10,"1,336.69"
2017-2018,London Regional Office,B67032,London District Catholic School Board,English,Catholic,144.60,734.17,207.96,265.22,352.56,999.39,"1,351.95"
2017-2018,Sudbury-North Bay Regional Office,B15199,Moose Factory Island DSAB,English,Public,<10         ,22.99,,,SP          ,22.99,SP          
2017-2018,Sudbury-North Bay Regional Office,B15202,Moosonee DSAB,English,Public,<10         ,14.99,,,SP          ,14.99,SP          
2017-2018,Sudbury-North Bay Regional Office,B28037,Near North DSB,English,Public,92.36,394.88,101.58,140.46,193.94,535.34,729.28
2017-2018,London Regional Office,B67156,Niagara CDSB,English,Catholic,195.79,768.07,231.68,226.78,427.47,994.85,"1,422.32"
2017-2018,Sudbury-North Bay Regional Office,B29017,Nipissing-Parry Sound CDSB,English,Catholic,22.70,128.90,30.77,33.50,53.47,162.40,215.87
2017-2018,Sudbury-North Bay Regional Office,B29009,Northeastern CDSB,English,Catholic,30.20,124.89,13.17,20.50,43.37,145.39,188.76
2017-2018,Thunder Bay Regional Office,B29041,Northwest CDSB,English,Catholic,25.20,93.20,,,25.20,93.20,118.40
2017-2018,Ottawa Regional Office,B67180,Ottawa CDSB,English,Catholic,333.69,"1,732.89",372.07,569.64,705.76,"2,302.53","3,008.29"
2017-2018,Ottawa Regional Office,B66184,Ottawa-Carleton DSB,English,Public,640.00,"3,143.15",733.97,937.52,"1,373.97","4,080.67","5,454.64"
2017-2018,Toronto and Area Regional Office,B66125,Peel DSB,English,Public,"1,288.60","6,683.76","1,122.59","1,672.01","2,411.19","8,355.77","10,766.96"
2017-2018,Barrie Regional Office,B79910,Penetanguishene PSSB,English,Public,<10         ,19.54,,,SP          ,19.54,SP          
2017-2018,Barrie Regional Office,B67067,Peterborough Victoria Northumberland and Clarington CDSB,English,Catholic,114.83,588.04,152.84,177.60,267.67,765.64,"1,033.31"
2017-2018,Sudbury-North Bay Regional Office,B28029,Rainbow DSB,English,Public,126.17,549.75,155.48,189.34,281.65,739.09,"1,020.74"
2017-2018,Thunder Bay Regional Office,B28053,Rainy River DSB,English,Public,21.30,128.48,37.90,45.77,59.20,174.25,233.45
2017-2018,Ottawa Regional Office,B67199,Renfrew County CDSB,English,Catholic,36.57,228.81,38.14,43.58,74.71,272.39,347.10
2017-2018,Ottawa Regional Office,B66214,Renfrew County DSB,English,Public,52.33,369.31,108.08,119.98,160.41,489.29,649.70
2017-2018,Barrie Regional Office,B66109,Simcoe County DSB,English,Public,480.40,"2,075.50",476.70,593.47,957.10,"2,668.97","3,626.07"
2017-2018,Barrie Regional Office,B67091,Simcoe Muskoka CDSB,English,Catholic,173.60,816.30,216.68,253.02,390.28,"1,069.32","1,459.60"
2017-2018,London Regional Office,B67040,St Clair CDSB,English,Catholic,75.10,344.94,84.01,88.36,159.11,433.30,592.41
2017-2018,Sudbury-North Bay Regional Office,B29033,Sudbury CDSB,English,Catholic,43.00,258.02,64.30,86.05,107.30,344.07,451.37
2017-2018,Thunder Bay Regional Office,B29076,Superior North CDSB,English,Catholic,13.50,76.00,,,13.50,76.00,89.50
2017-2018,Thunder Bay Regional Office,B28070,Superior-Greenstone DSB,English,Public,13.70,71.60,37.29,39.64,50.99,111.24,162.23
2017-2018,London Regional Office,B66044,Thames Valley DSB,English,Public,668.57,"3,099.24",763.03,901.37,"1,431.60","4,000.61","5,432.21"
2017-2018,Thunder Bay Regional Office,B29068,Thunder Bay CDSB,English,Catholic,72.65,347.00,76.00,88.38,148.65,435.38,584.03
2017-2018,Toronto and Area Regional Office,B67059,Toronto CDSB,English,Catholic,803.61,"3,522.91",842.60,"1,276.69","1,646.21","4,799.60","6,445.81"
2017-2018,Toronto and Area Regional Office,B66052,Toronto DSB,English,Public,"2,743.95","9,707.22","2,108.40","2,904.84","4,852.35","12,612.06","17,464.41"
2017-2018,Barrie Regional Office,B66087,Trillium Lakelands DSB,English,Public,130.90,683.78,182.83,217.96,313.73,901.74,"1,215.47"
2017-2018,Ottawa Regional Office,B66192,Upper Canada DSB,English,Public,175.76,"1,082.73",276.58,338.62,452.34,"1,421.35","1,873.69"
2017-2018,Toronto and Area Regional Office,B66117,Upper Grand DSB,English,Public,287.70,"1,333.30",347.01,434.70,634.71,"1,768.00","2,402.71"
2017-2018,London Regional Office,B67148,Waterloo CDSB,English,Catholic,161.70,947.68,195.68,255.97,357.38,"1,203.65","1,561.03"
2017-2018,London Regional Office,B66176,Waterloo Region DSB,English,Public,540.93,"2,631.67",603.05,710.06,"1,143.98","3,341.73","4,485.71"
2017-2018,Toronto and Area Regional Office,B67130,Wellington CDSB,English,Catholic,64.84,321.13,65.34,104.51,130.18,425.64,555.82
2017-2018,London Regional Office,B67024,Windsor-Essex CDSB,English,Catholic,184.50,674.67,218.14,278.19,402.64,952.86,"1,355.50"
2017-2018,Barrie Regional Office,B67075,York CDSB,English,Catholic,320.99,"2,197.19",460.09,789.39,781.08,"2,986.58","3,767.66"
2017-2018,Barrie Regional Office,B66095,York Region DSB,English,Public,950.13,"5,048.97","1,016.48","1,657.34","1,966.61","6,706.31","8,672.92"
