"BoardID"	"SchoolID"	"School.Type"	"Enrolment"	"Percentage.of.Students.Whose.First.Language.Is.Not.English"	"Percentage.of.Students.Whose.First.Language.Is.Not.French"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country"	"Percentage.of.Students.Receiving.Special.Education.Services"	"Gifted"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Children.Who.Live.in.Low.Income.Households"	"Percentage.of.Students.Whose.Parents.Have.Some.University.Education"	"FSL.Core"	"FSL.Extended"	"FSL.Immersion"	"Gender.Ratio.M.to.F"	"Enrol_sum_all"	"Enrol_sum_JKto3"	"Enrol_sum_4to6"
"B15202"	"372005"	"Public"	279	24	100	8	8	15	"FALSE"	64	72	44	70	61	42	42	28	"YES"	"NO"	"NO"	0.23	279	137	88
"B28002"	"181552"	"Public"	199	3	98	8	8	18	"FALSE"	76	67	62	71	48	19	26	20	"YES"	"NO"	"NO"	0.25	3780	2082	1265
"B28002"	"221554"	"Public"	192	3	98	8	8	29	"FALSE"	65	65	55	72	55	31	15	27	"YES"	"NO"	"NO"	0.25	3780	2082	1265
"B28002"	"361747"	"Public"	358	3	98	8	8	16	"FALSE"	59	63	48	62	56	25	16	30	"YES"	"NO"	"NO"	0.25	3780	2082	1265
"B28002"	"445061"	"Public"	203	3	96	8	8	22	"FALSE"	27	30	18	31	28	12	26	20	"YES"	"NO"	"NO"	0.25	3780	2082	1265
"B28002"	"193771"	"Public"	138	3	99	8	8	28	"FALSE"	47	53	26	41	32	18	24	23	"YES"	"NO"	"NO"	0.25	3780	2082	1265
"B28002"	"114073"	"Public"	386	3	95	8	8	22	"FALSE"	47	44	29	59	47	28	14	23	"YES"	"NO"	"YES"	0.25	3780	2082	1265
"B28002"	"502030"	"Public"	133	3	99	8	8	50	"FALSE"	40	47	27	47	47	7	33	15	"YES"	"NO"	"NO"	0.25	3780	2082	1265
"B28002"	"270291"	"Public"	486	3	93	8	8	4	"FALSE"	62	65	51	95	90	24	18	28	"NO"	"NO"	"YES"	0.25	3780	2082	1265
"B28002"	"140210"	"Public"	82	3	98	8	8	35	"FALSE"	36	18	18	75	42	0	24	12	"YES"	"NO"	"NO"	0.25	3780	2082	1265
"B28002"	"384224"	"Public"	383	3	93	8	8	14	"FALSE"	44	56	27	81	72	42	16	25	"YES"	"NO"	"YES"	0.25	3780	2082	1265
"B28002"	"347957"	"Public"	98	3	97	8	8	17	"FALSE"	46	38	8	64	36	0	27	20	"YES"	"NO"	"YES"	0.25	3780	2082	1265
"B28010"	"230561"	"Public"	209	4	100	8	8	17	"FALSE"	76	64	52	52	59	41	16	34	"YES"	"NO"	"NO"	0.21	5771	3101	1993
