"School.Type"	"Enrolment"	"Percentage.of.Students.Whose.First.Language.Is.Not.English"	"Percentage.of.Students.Whose.First.Language.Is.Not.French"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country"	"Percentage.of.Students.Receiving.Special.Education.Services"	"Gifted"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Children.Who.Live.in.Low.Income.Households"	"Percentage.of.Students.Whose.Parents.Have.Some.University.Education"	"FSL.Core"	"FSL.Extended"	"FSL.Immersion"	"Gender.Ratio.M.to.F"	"Enrol_sum_all"	"Enrol_sum_JKto3"	"Enrol_sum_4to6"
"Public"	"Low"	"High"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Low"	"Medium"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Highest"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"High"	"FALSE"	"Medium"	"Low"	"Medium"	"Lowest"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"Highest"	"FALSE"	"Low"	"Low"	"Low"	"Low"	"Lowest"	"Low"	"Medium"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Lowest"	"High"	"High"	"Medium"	"FALSE"	"Lowest"	"Low"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Lowest"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"High"	"Lowest"	"Lowest"	"High"	"High"	"Lowest"	"FALSE"	"Lowest"	"Low"	"Low"	"Highest"	"High"	"Lowest"	"Medium"	"Low"	"NO"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
