"","BoardID","SchoolID","Board.Type","School.Type","School.Special.Condition.Code","School.Language","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Percentage.of.Students.Identified.as.Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Junior.Kindergarten.Enrolment","Kindergarten.Enrolment","Grade.1.Enrolment","Grade.2.Enrolment","Grade.3.Enrolment","Grade.4.Enrolment","Grade.5.Enrolment","Grade.6.Enrolment","Grade.7.Enrolment","Grade.8.Enrolment","Board.Language","Elementary.Male.Educators","Elementary.Female.Educators"
"1","B15202","372005","Public School Board","Public","Not applicable","English",279,NA,"100",NA,NA,"14.6",NA,"64%","72%","44%","70%","61%","42%","41.9","27.8","YES","NO","NO","23","32","26","30","26","28","26","34","22","32","English","<10","14.99"
"2","B28002","181552","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",199,"SP","98.5","SP","SP","18",NA,"76%","67%","62%","71%","48%","19%","26.5","19.7","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"3","B28002","221554","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",192,"SP","97.9",NA,NA,"28.6",NA,"65%","65%","55%","72%","55%","31%","15.1","26.7","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"4","B28002","361747","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",358,"SP","97.8","SP","SP","15.6",NA,"59%","63%","48%","62%","56%","25%","15.6","30.2","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"5","B28002","445061","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",203,"SP","95.6",NA,NA,"22.1",NA,"27%","30%","18%","31%","28%","12%","25.9","20.1","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"7","B28002","550809","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",20,NA,"100",NA,NA,"SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","SP","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"8","B28002","296600","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",97,"SP","96.9",NA,NA,"29.8",NA,NA,NA,NA,NA,NA,NA,"21.9","22.8","YES","NO","YES","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"9","B28002","193771","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",138,NA,"98.6",NA,NA,"27.5",NA,"47%","53%","26%","41%","32%","18%","24.3","23","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"10","B28002","600222","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",52,NA,"92.3",NA,NA,"32.6",NA,NA,NA,NA,NA,NA,NA,"22","SP","YES","NO","YES","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"12","B28002","114073","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",386,"SP","94.6","SP","SP","22",NA,"47%","44%","29%","59%","47%","28%","14.5","22.7","YES","NO","YES","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
