"","Factor","Total Freq","3R Freq","3W Freq","3M Freq","6R Freq","6W Freq","6M Freq","Set"
"11","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing=Highest",260,98,NA,78,27,27,30,"Highest"
"10","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading=Highest",238,NA,98,77,21,21,21,"Highest"
"8","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics=Highest",209,77,78,NA,16,16,22,"Highest"
"15","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading=Highest",186,21,27,16,NA,69,53,"Highest"
"17","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing=Highest",183,21,27,16,69,NA,50,"Highest"
"4","Gender.Ratio.M.to.F=Lowest",182,36,34,30,31,26,25,"Highest"
"13","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics=Highest",176,21,30,22,53,50,NA,"Highest"
"22","School.Type=Catholic",124,51,52,14,4,3,NA,"Highest"
"21","Percentage.of.Students.Whose.Parents.Have.Some.University.Education=Highest",62,10,8,16,6,6,16,"Highest"
"16","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing=High",47,13,12,4,NA,NA,18,"Highest"
"6","Percentage.of.Children.Who.Live.in.Low.Income.Households=Lowest",45,16,9,6,5,4,5,"Highest"
"19","Percentage.of.Students.Receiving.Special.Education.Services=Lowest",24,1,1,2,5,7,8,"Highest"
"9","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading=High",10,NA,2,1,1,1,5,"Highest"
"12","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics=High",4,1,1,1,1,NA,NA,"Highest"
"20","Percentage.of.Students.Whose.First.Language.Is.Not.English=Highest",4,NA,NA,NA,NA,NA,4,"Highest"
